question,gold_sql,predicted_sql,exact_match,execution_match,duration_sec
Show me the name of anatomical entities and species for all species,"SELECT anatomical_entity.name, species.speciescommonname
FROM anatomical_entity
         JOIN healthy_expression ON anatomical_entity.id = healthy_expression.uberon_anatomical_id
         JOIN xref_gene_ensembl ON healthy_expression.ensembl_gene_id = xref_gene_ensembl.ensembl_gene_id
         JOIN species ON xref_gene_ensembl.speciesid = species.speciesid","SELECT anatomical_entity.name, species.species FROM anatomical_entity JOIN disease ON anatomical_entity.id = disease.anatomical_entity_id JOIN species ON disease.speciesid = species.speciesid",False,False,187.13
What are the distinct healthy organs where the gene A1BG is expressed.,"SELECT distinct anatomical_entity.name
FROM healthy_expression
         JOIN xref_gene_ensembl ON healthy_expression.ensembl_gene_id = xref_gene_ensembl.ensembl_gene_id
         JOIN anatomical_entity ON healthy_expression.uberon_anatomical_id = anatomical_entity.id
WHERE xref_gene_ensembl.gene_symbol = 'A1BG'
  and healthy_expression.expression_level_anatomical_relative != 'ABSENT'",SELECT DISTINCT anatomical_entity.name,False,False,188.77
Give me symbol and description of biomarkers related to breast at the EDRN phase one,"SELECT biomarker.gene_symbol, biomarker.biomarker_description
FROM biomarker
         JOIN biomarker_edrn ON biomarker.id = biomarker_edrn.id
         JOIN anatomical_entity ON biomarker_edrn.uberon_anatomical_id = anatomical_entity.id
WHERE anatomical_entity.name = 'breast'
  and biomarker_edrn.phase = 'One'","SELECT bio.gene_symbol, bio.biomarker_description",False,False,218.24
Show me the name of the anatomical entity and the expression score of where either gene ENSMUSG00000000037 or gene ENSMUSG00000000078 is expressed in.,"SELECT anatomical_entity.name, healthy_expression.expression_score
FROM healthy_expression
         JOIN anatomical_entity
              ON healthy_expression.uberon_anatomical_id = anatomical_entity.id
WHERE healthy_expression.ensembl_gene_id = 'ENSMUSG00000000037'
   OR healthy_expression.ensembl_gene_id = 'ENSMUSG00000000078'","SELECT anatomical_entity.name, healthy_expression.expression_score",False,False,217.38
What's the NCIt term for biomarker with symbol ALDH4A1?,"SELECT biomarker_fda_ncit_term.ncit_biomarker
FROM biomarker_fda_ncit_term
         JOIN biomarker_fda ON biomarker_fda_ncit_term.biomarker_fda_id = biomarker_fda.id
         JOIN biomarker ON biomarker_fda.id = biomarker.id
WHERE biomarker.gene_symbol = 'ALDH4A1'",SELECT ncit_biomarker,False,False,188.03
Show all information about disease mutations of the anatomical entity liver,"SELECT *
FROM disease_mutation
         JOIN disease_mutation_tissue ON disease_mutation.id = disease_mutation_tissue.disease_mutation_id
         JOIN anatomical_entity ON disease_mutation_tissue.uberon_anatomical_id = anatomical_entity.id
WHERE anatomical_entity.name = 'liver'",SELECT *,False,False,194.44
List all disease mutations which belong to anatomical entity liver.,"SELECT *
FROM anatomical_entity
         JOIN disease_mutation_tissue ON anatomical_entity.id = disease_mutation_tissue.uberon_anatomical_id
         JOIN disease_mutation ON disease_mutation_tissue.disease_mutation_id = disease_mutation.id
where anatomical_entity.name = 'liver'",SELECT *,False,False,183.53
Show me the gene symbol of biomarkers that have an approval status of 'PMP' from the FDA,"SELECT gene_symbol 
FROM biomarker
JOIN biomarker_fda ON biomarker.id = biomarker_fda.id
JOIN biomarker_fda_test ON biomarker_fda.test_submission = biomarker_fda_test.test_submission
WHERE biomarker_fda_test.test_approval_status = 'PMP'",SELECT biomarker.gene_symbol,False,False,191.1
What are the desctiptions of biomarkers related to breast cancer?,"SELECT biomarker.biomarker_description
FROM biomarker
JOIN biomarker_edrn ON biomarker.id = biomarker_edrn.id
JOIN anatomical_entity ON biomarker_edrn.uberon_anatomical_id = anatomical_entity.id
WHERE anatomical_entity.name = 'breast'",SELECT biomarker.biomarker_description,False,False,198.36
How many biomarkers are associated with each anatomical entity?,"SELECT anatomical_entity.name, COUNT(*)
FROM biomarker
JOIN biomarker_edrn ON biomarker.id = biomarker_edrn.id
JOIN anatomical_entity ON biomarker_edrn.uberon_anatomical_id = anatomical_entity.id
GROUP BY anatomical_entity.name","SELECT anatomical_entity.name, COUNT(*)",False,False,201.05
